TARGET_B,ID,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,LOG_GiftAvg36,LOG_GiftAvgAll,LOG_GiftAvgLast,LOG_GiftCnt36,LOG_GiftCntAll,LOG_GiftCntCard36,LOG_GiftCntCardAll,REP_StatusCat96NK,IMP_DemAge,IMP_LOG_GiftAvgCard36,IMP_REP_DemMedIncome,M_DemAge,M_LOG_GiftAvgCard36,M_REP_DemMedIncome
1,15350,18,23,12,24,21,6,12,10,0,22,F,U,"107,100",32,2.917770732,2.917770732,3.044522438,1.098612289,1.098612289,0.693147181,0.693147181,N,70,2.772588722,77654,0,0,0
1,15445,19,103,13,31,60,6,6,25,1,25,M,H,"78,200",25,3.044522438,2.418588769,3.044522438,0.693147181,2.63905733,0,1.945910149,A,42,2.585531718,58530,0,1,0
1,15416,24,24,8,18,16,3,7,6,0,25,M,H,"85,900",25,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0.693147181,0.693147181,N,47,3.044522438,51013,0,0,0
0,15573,17,125,13,28,68,6,13,27,1,43,F,H,"47,100",24,2.302585093,1.766441661,2.397895273,1.386294361,2.944438979,1.386294361,2.63905733,A,53,2.302585093,43756,0,0,0
1,15566,21,86,12,30,59,5,5,23,1,49,F,H,"68,300",31,2.48490665,2.105352924,2.63905733,1.098612289,2.708050201,0,1.609437912,A,59.26291209,2.585531718,43756,1,1,0
0,15549,24,44,11,28,33,6,13,13,0,44,F,U,"68,300",40,2.833213344,2.708050201,3.044522438,1.098612289,1.386294361,0.693147181,0.693147181,A,65,3.044522438,43756,0,0,0
1,15651,23,127,12,32,68,6,15,29,0,24,F,H,"149,700",40,2.251291799,2.070653036,2.397895273,1.609437912,2.708050201,1.098612289,2.079441542,A,42,2.351375257,53466,0,0,0
0,190355,16,100,4,12,35,2,6,18,1,22,F,U,"72,800",8,2.602689685,2.302585093,2.397895273,1.098612289,2.564949358,1.098612289,2.564949358,L,81,2.602689685,53570.85049,0,0,1
1,15697,19,44,14,31,35,6,6,13,0,43,U,U,"53,500",37,2.833213344,2.708050201,3.044522438,1.098612289,1.386294361,0,0.693147181,A,59.26291209,2.585531718,43481,1,1,0
1,1799,4,75,25,46,88,11,21,32,1,27,M,H,"86,000",35,2.1102132,2.32630162,2.302585093,2.197224577,3.091042453,1.945910149,2.564949358,A,59.26291209,2.159868791,51338,1,0,0
0,15874,23,33,14,30,28,6,13,11,0,34,M,H,"124,400",27,2.708050201,2.708050201,3.258096538,1.098612289,1.098612289,1.098612289,1.098612289,A,52,2.708050201,78433,0,0,0
0,15902,18,31,10,24,22,4,4,9,0,44,F,H,"82,200",31,2.772588722,2.772588722,3.044522438,1.098612289,1.098612289,0,0,A,33,2.585531718,59061,0,1,0
0,16049,19,53,11,19,27,4,7,10,0,36,F,U,"61,700",27,2.833213344,2.63905733,2.833213344,0.693147181,1.098612289,0.693147181,1.098612289,A,67,2.833213344,53570.85049,0,0,1
0,4132,19,111,30,51,103,6,17,29,1,50,F,U,"89,400",24,2.756840365,2.480731278,2.397895273,1.609437912,3.091042453,1.098612289,2.302585093,A,71,2.917770732,40898,0,0,0
0,16215,26,92,10,32,59,5,5,24,1,40,M,H,"76,900",34,2.397895273,2.373975089,2.397895273,1.098612289,2.995732274,0,2.197224577,A,71,2.585531718,53570.85049,0,1,1
1,15800,15,127,14,34,83,7,18,34,1,35,F,H,"66,900",40,1.806648082,1.786746927,1.791759469,2.48490665,3.663561646,2.079441542,3.17805383,A,69,1.814824742,42537,0,0,0
1,16329,15,97,12,31,64,5,13,26,1,39,F,H,"68,300",25,1.887069649,1.769854634,1.791759469,1.791759469,2.772588722,0.693147181,1.945910149,A,50,1.945910149,49836,0,0,0
0,16480,24,123,11,33,70,6,17,32,1,32,F,H,"45,900",21,2.772588722,2.313525033,2.772588722,1.609437912,2.944438979,0.693147181,2.397895273,A,65,2.772588722,45037,0,0,0
0,16450,15,32,12,25,25,5,5,9,0,32,M,U,"50,600",8,2.685804592,2.685804592,3.091042453,1.386294361,1.386294361,0,0,A,73,2.585531718,45037,0,1,0
0,16532,25,30,11,23,22,4,9,8,0,24,M,H,"121,400",24,1.386294361,2.302585093,2.772588722,0.693147181,1.098612289,0.693147181,0.693147181,A,54,1.386294361,73547,0,0,0
0,16562,16,45,15,34,37,6,15,15,1,15,F,H,"95,900",11,2.1690537,1.986503546,2.302585093,1.609437912,2.079441542,1.098612289,1.609437912,A,60,2.197224577,51354,0,0,0
1,16643,18,27,12,26,23,6,13,11,0,24,F,H,"89,500",25,2.685804592,2.685804592,2.772588722,1.386294361,1.386294361,0.693147181,0.693147181,N,83,2.833213344,66208,0,0,0
1,188246,18,109,6,14,43,2,6,19,1,24,M,U,"93,700",44,2.505525937,2.180417459,2.397895273,1.609437912,3.044522438,1.386294361,2.48490665,L,59.26291209,2.397895273,53570.85049,1,0,1
0,16662,20,63,13,32,45,6,14,17,0,43,U,U,"57,300",24,2.833213344,2.468099532,3.044522438,1.098612289,1.791759469,0.693147181,1.609437912,A,59.26291209,3.044522438,45926,1,0,0
0,16764,18,68,13,32,54,6,6,21,0,12,F,H,"102,800",26,3.258096538,2.765060456,2.772588722,0.693147181,2.197224577,0,1.098612289,A,35,2.585531718,82719,0,1,0
1,16771,19,111,5,18,50,2,7,19,1,35,F,H,"201,800",32,1.791759469,1.743968805,1.791759469,1.386294361,2.944438979,0.693147181,2.48490665,A,77,1.791759469,82719,0,0,0
1,16774,16,126,15,35,86,6,17,34,1,17,F,H,"78,600",18,2.442347035,2.277267285,2.397895273,1.945910149,3.36729583,1.609437912,2.890371758,A,44,2.463853241,82719,0,0,0
1,16777,15,29,10,20,20,3,7,7,0,11,F,H,"96,400",29,2.772588722,2.772588722,3.258096538,1.098612289,1.098612289,0.693147181,0.693147181,L,45,1.791759469,53570.85049,0,0,1
1,190040,16,24,4,9,9,2,5,5,1,22,M,U,"161,000",20,2.602689685,2.602689685,2.772588722,1.098612289,1.098612289,1.098612289,1.098612289,L,59.26291209,2.602689685,53570.85049,1,0,1
1,16863,16,44,16,32,39,6,14,14,0,22,F,U,"95,100",10,2.961658293,2.772588722,3.258096538,1.386294361,1.609437912,1.386294361,1.609437912,A,64,2.961658293,73793,0,0,0
0,16889,19,76,14,28,50,6,12,18,0,49,F,U,"73,900",16,2.602689685,2.575661013,2.772588722,1.098612289,2.079441542,0.693147181,1.386294361,A,34,2.397895273,56388,0,0,0
0,88361,17,73,14,29,49,6,12,17,0,13,U,U,"86,000",29,2.944438979,2.48490665,2.995732274,1.098612289,1.945910149,0.693147181,1.098612289,A,54,2.995732274,53570.85049,0,0,1
0,16946,17,34,12,29,26,6,14,12,0,35,F,H,"86,000",29,2.708050201,2.708050201,3.044522438,1.386294361,1.386294361,1.098612289,1.098612289,A,55,2.772588722,60293,0,0,0
1,17102,22,56,12,34,46,6,17,20,1,39,F,U,"68,500",24,2.054123734,1.900613874,1.945910149,1.791759469,2.63905733,0.693147181,1.609437912,A,59.26291209,2.079441542,53570.85049,1,0,1
0,17117,15,122,13,31,52,6,13,22,1,51,F,H,"58,000",33,2.327277706,1.838961071,2.397895273,1.609437912,2.708050201,1.098612289,1.945910149,A,53,2.397895273,42412,0,0,0
1,16756,15,44,14,35,43,6,16,16,1,17,M,H,"54,200",32,2.63905733,2.797281335,2.397895273,1.609437912,1.791759469,1.098612289,1.386294361,A,29,2.48490665,43084,0,0,0
0,17268,24,130,12,33,74,6,16,32,1,50,M,H,"45,000",23,2.397895273,1.958685341,2.397895273,1.386294361,3.17805383,0.693147181,2.397895273,A,46,2.397895273,29767,0,0,0
0,17333,16,41,13,33,37,6,16,15,0,40,F,U,"82,800",21,2.564949358,2.508785924,2.564949358,1.609437912,2.079441542,1.098612289,1.386294361,A,50,2.564949358,53597,0,0,0
1,17378,17,53,14,31,38,6,14,15,0,34,F,H,"106,400",25,3.044522438,2.505525937,3.044522438,0.693147181,1.609437912,0.693147181,1.386294361,A,31,3.044522438,53635,0,0,0
0,17517,16,64,12,28,45,4,10,14,0,35,F,U,"87,300",24,2.772588722,2.583997552,2.772588722,0.693147181,1.609437912,0.693147181,1.386294361,A,59.26291209,2.772588722,53570.85049,1,0,1
0,17435,16,16,12,16,13,5,7,6,0,25,M,H,"92,700",7,3.258096538,3.258096538,3.258096538,0.693147181,0.693147181,0.693147181,0.693147181,N,38,3.258096538,73864,0,0,0
1,5331,4,112,30,50,102,11,22,41,1,24,U,U,"161,800",30,2.662355242,2.529720666,2.772588722,2.302585093,3.135494216,2.079441542,2.48490665,A,59.26291209,2.63905733,84071,1,0,0
0,17578,20,33,13,31,31,6,14,12,1,35,F,H,"127,400",24,2.397895273,2.397895273,2.397895273,1.609437912,1.609437912,1.609437912,1.609437912,A,31,2.397895273,53570.85049,0,0,1
0,17664,15,15,8,10,10,3,3,4,0,32,F,H,"57,400",30,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0,0,L,59,2.585531718,25742,0,1,0
1,17714,17,87,15,33,59,6,14,23,1,11,F,H,"77,000",30,3.091042453,2.597491011,3.091042453,1.098612289,2.079441542,0.693147181,1.609437912,A,66,3.091042453,43231,0,0,0
0,188727,5,69,12,34,53,6,17,21,1,32,F,U,"56,700",28,2.772588722,2.558002205,2.397895273,1.386294361,2.48490665,1.098612289,1.609437912,A,67,2.803360381,43231,0,0,0
0,14124,4,147,18,35,85,7,14,30,0,24,M,U,"134,800",27,2.772588722,2.561095788,2.772588722,0.693147181,3.135494216,0.693147181,1.791759469,A,75,2.772588722,57000,0,0,0
0,5960,17,101,20,39,90,6,16,25,1,23,M,H,"150,400",57,2.944438979,2.626840146,3.044522438,1.098612289,2.564949358,1.098612289,2.079441542,A,46,2.944438979,57000,0,0,0
1,17772,20,21,11,18,16,4,7,6,0,24,F,H,"260,200",43,2.397895273,2.397895273,1.791759469,1.098612289,1.098612289,0.693147181,0.693147181,N,87,2.772588722,50858,0,0,0
0,17872,15,130,13,34,73,6,16,31,1,34,F,H,"90,900",31,2.724579503,2.797281335,3.258096538,1.609437912,2.772588722,1.098612289,2.302585093,A,79,2.397895273,67280,0,0,0
0,18055,27,65,11,30,43,5,14,17,0,47,M,U,"53,600",25,2.772588722,2.351375257,3.044522438,1.386294361,1.945910149,0.693147181,1.386294361,A,59.26291209,2.397895273,41021,1,0,0
1,18038,25,77,11,32,60,6,17,22,1,47,U,U,"54,800",30,2.803360381,2.593761055,2.833213344,1.098612289,2.197224577,1.098612289,2.079441542,A,59.26291209,2.803360381,53570.85049,1,0,1
0,18067,19,130,12,26,61,5,5,24,1,47,F,H,"62,500",27,2.674148649,2.197224577,2.772588722,1.098612289,2.302585093,0,1.945910149,A,67,2.585531718,44461,0,1,0
1,18089,21,76,14,32,55,6,16,22,1,22,M,H,"99,400",19,2.867898902,2.693274916,2.890371758,1.791759469,2.302585093,1.791759469,2.197224577,A,47,2.867898902,59375,0,0,0
0,18091,27,81,11,32,58,5,16,23,1,22,M,H,"81,000",34,3.121042465,2.820187701,3.258096538,1.386294361,2.302585093,0.693147181,1.945910149,A,61,3.044522438,59375,0,0,0
0,18115,18,104,15,29,62,6,6,25,1,47,F,H,"59,600",15,3.258096538,2.951780386,3.258096538,0.693147181,2.079441542,0,1.791759469,A,56,2.585531718,42313,0,1,0
0,17023,17,17,11,16,14,5,7,6,0,40,F,H,"71,700",36,3.17805383,3.17805383,3.17805383,0.693147181,0.693147181,0.693147181,0.693147181,N,25,3.17805383,42313,0,0,0
1,18196,15,127,12,34,80,5,16,32,1,36,M,U,"46,900",28,2.512035317,2.136530509,2.63905733,1.945910149,3.784189634,1.098612289,2.890371758,A,59.26291209,2.397895273,40493,1,0,0
0,18182,21,36,10,28,28,4,12,11,0,36,F,U,"46,900",28,2.917770732,2.917770732,3.044522438,1.098612289,1.098612289,1.098612289,1.098612289,A,59.26291209,2.917770732,40493,1,0,0
0,18229,18,119,13,35,76,6,6,34,1,34,F,U,"74,200",26,3.931825633,3.097837497,3.931825633,1.098612289,2.63905733,0,2.197224577,A,52,2.585531718,53570.85049,0,1,1
0,18262,18,55,14,35,47,6,17,19,1,24,M,U,"79,000",37,2.021547563,1.961502244,2.197224577,2.48490665,2.944438979,2.079441542,2.397895273,A,63,1.986503546,33629,0,0,0
0,18341,21,85,12,31,41,6,15,18,1,47,F,H,"46,900",25,2.740840024,2.221375038,3.044522438,1.098612289,2.302585093,1.098612289,1.791759469,A,59,2.740840024,32201,0,0,0
1,18339,18,32,12,26,24,6,12,10,0,47,M,U,"46,900",25,2.397895273,2.397895273,2.397895273,1.386294361,1.386294361,0.693147181,0.693147181,A,49,1.791759469,32201,0,0,0
0,18351,24,79,9,24,47,4,4,17,1,47,F,U,"47,300",24,2.833213344,2.595254707,2.833213344,0.693147181,1.791759469,0,1.386294361,A,40,2.585531718,45078,0,1,0
1,187959,19,80,7,15,34,2,6,14,1,40,U,U,"102,400",32,2.351375257,2.140066164,2.48490665,1.609437912,3.555348062,1.386294361,3.044522438,L,59.26291209,2.335052283,53570.85049,1,0,1
0,18454,15,128,14,32,71,6,14,32,1,46,M,U,"77,300",32,2.525728644,2.162172939,2.48490665,1.609437912,2.833213344,0.693147181,2.397895273,A,59.26291209,2.397895273,40556,1,0,0
1,18466,15,68,11,26,46,5,12,18,1,47,F,H,"59,400",30,1.791759469,1.595338988,1.791759469,1.609437912,2.708050201,1.386294361,2.079441542,A,39,1.791759469,44250,0,0,0
0,18498,16,29,13,26,26,6,12,10,1,41,F,U,"44,200",32,2.48490665,2.302585093,3.044522438,1.386294361,1.609437912,1.386294361,1.386294361,A,71,2.48490665,53570.85049,0,0,1
1,18508,18,40,13,33,35,6,15,14,1,36,F,U,"63,500",26,1.981001469,2.037316615,2.397895273,1.609437912,1.945910149,0.693147181,0.693147181,A,59.26291209,1.791759469,50251,1,0,0
0,18585,18,130,14,35,79,6,16,32,1,41,F,U,"68,900",33,3.283539338,2.430978308,3.33220451,1.386294361,2.995732274,0.693147181,2.63905733,A,45,3.258096538,50628,0,0,0
1,18584,21,130,14,33,68,5,13,28,0,27,F,H,"67,100",49,2.708050201,2.451005098,2.708050201,0.693147181,2.397895273,0.693147181,1.945910149,A,75,2.708050201,50628,0,0,0
1,18607,26,125,9,28,67,4,4,27,1,40,M,H,"79,700",30,2.890371758,2.171336806,2.890371758,0.693147181,2.63905733,0,2.197224577,A,37,2.585531718,55991,0,1,0
1,18609,23,128,10,27,62,4,11,26,0,35,F,H,"120,800",30,3.044522438,2.708050201,3.044522438,0.693147181,2.197224577,0.693147181,1.945910149,A,48,3.044522438,55991,0,0,0
1,19623,18,62,14,36,52,6,17,21,1,34,F,U,"107,000",32,2.219203484,2.018895042,2.397895273,1.791759469,2.772588722,1.791759469,2.397895273,A,35,2.219203484,53570.85049,0,0,1
1,18802,16,87,13,34,60,6,16,23,0,40,M,H,"112,800",32,3.044522438,2.740840024,3.044522438,1.098612289,1.945910149,0.693147181,1.609437912,A,46,3.044522438,92715,0,0,0
0,18640,19,28,12,26,24,6,13,11,0,34,F,H,"130,700",36,2.539236994,2.505525937,2.772588722,1.386294361,1.609437912,0.693147181,0.693147181,A,49,2.772588722,61112,0,0,0
0,18657,16,112,12,32,76,5,15,29,1,43,F,H,"43,300",26,2.615203651,2.240709689,2.63905733,1.386294361,3.044522438,1.098612289,2.564949358,A,51,2.602689685,38681,0,0,0
1,18664,17,17,10,15,13,4,6,5,0,36,M,H,"51,900",24,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0.693147181,0.693147181,N,59,3.044522438,36337,0,0,0
1,18694,26,81,9,26,48,4,4,19,0,30,M,H,"32,000",34,2.772588722,1.965712776,2.772588722,0.693147181,2.079441542,0,1.098612289,A,68,2.585531718,36344,0,1,0
0,18700,18,130,13,31,71,4,13,28,1,32,M,U,"49,900",30,2.457021446,2.442347035,2.397895273,1.386294361,2.708050201,0.693147181,2.079441542,A,68,2.564949358,53570.85049,0,0,1
0,18732,17,125,10,27,56,4,11,23,1,23,M,H,"86,700",41,1.871802177,1.654411278,2.079441542,1.609437912,2.63905733,0.693147181,2.197224577,A,48,2.079441542,46557,0,0,0
0,18740,21,29,12,25,24,6,13,11,0,40,F,H,"65,700",29,2.685804592,2.685804592,2.772588722,1.386294361,1.386294361,1.386294361,1.386294361,A,77,2.685804592,57099,0,0,0
0,18753,18,57,13,30,42,6,6,17,0,27,M,H,"68,000",30,3.583518939,3.583518939,3.931825633,0.693147181,1.386294361,0,0.693147181,A,38,2.585531718,57099,0,1,0
0,18770,15,62,13,33,44,6,15,18,0,44,F,H,"71,300",27,2.397895273,2.181546765,2.397895273,1.609437912,2.079441542,0.693147181,1.098612289,A,86,2.397895273,37188,0,0,0
1,187691,18,44,6,14,16,2,6,8,0,40,F,U,"87,200",26,1.824549292,1.652497402,1.945910149,1.791759469,2.302585093,1.098612289,1.791759469,L,59.26291209,1.791759469,53570.85049,1,0,1
1,18836,20,128,13,35,63,6,17,29,0,41,F,H,"55,200",34,3.044522438,2.475697711,3.258096538,1.098612289,2.302585093,0.693147181,1.791759469,A,60,3.258096538,43669,0,0,0
1,18953,17,113,13,32,66,6,15,27,1,14,F,H,"109,300",29,2.397895273,2.119863456,2.48490665,1.945910149,2.772588722,1.386294361,2.48490665,A,54,2.512035317,73728,0,0,0
1,19020,15,41,14,35,39,6,16,15,0,34,F,H,"158,800",31,2.890371758,2.844909384,2.397895273,1.386294361,1.791759469,1.098612289,1.386294361,A,69,2.890371758,47598,0,0,0
1,19129,17,81,13,31,57,6,13,20,1,36,F,U,"53,800",33,2.512035317,2.512035317,2.397895273,1.386294361,2.302585093,0.693147181,1.791759469,A,55,2.397895273,41976,0,0,0
1,14598,5,126,25,42,101,4,4,28,1,38,M,H,"51,000",51,3.349904087,3.052585085,3.295836866,1.098612289,3.218875825,0,1.945910149,A,83,2.585531718,40364,0,1,0
1,56773,20,56,12,32,43,4,14,18,1,14,U,H,"70,700",17,2.410542235,2.273156282,1.791759469,2.079441542,2.708050201,1.609437912,2.079441542,A,45,2.525728644,47385,0,0,0
0,19214,25,126,11,31,69,4,13,28,1,0,F,H,"79,900",0,2.833213344,2.373043557,2.890371758,1.098612289,2.48490665,0.693147181,2.302585093,A,56,2.772588722,47572,0,0,0
0,190777,19,44,13,32,37,6,15,15,0,0,M,U,"64,500",0,2.772588722,2.415913778,2.397895273,1.098612289,1.791759469,0.693147181,1.386294361,A,63,2.397895273,47572,0,0,0
0,19284,19,56,13,31,40,6,14,16,0,39,M,H,"51,700",20,3.091042453,3.020424886,3.258096538,1.386294361,1.609437912,0.693147181,1.098612289,A,49,2.890371758,47612,0,0,0
0,19363,18,41,13,33,39,6,16,15,1,27,F,U,"66,700",18,2.85819286,2.809402695,2.397895273,2.079441542,2.397895273,1.386294361,1.609437912,A,59.26291209,2.852439104,37312,1,0,0
0,19418,18,75,14,29,45,5,13,17,0,32,F,H,"41,900",15,3.258096538,2.856470206,3.258096538,0.693147181,1.791759469,0.693147181,1.386294361,A,68,3.258096538,30591,0,0,0
0,19495,17,17,12,17,15,4,6,5,0,24,F,H,"97,200",37,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0.693147181,0.693147181,N,58,3.044522438,85664,0,0,0
0,19498,17,28,11,24,22,5,11,10,0,24,M,H,"127,500",38,3.091042453,3.091042453,3.135494216,1.098612289,1.098612289,0.693147181,0.693147181,A,59,3.044522438,85664,0,0,0
0,19608,18,127,15,37,77,6,17,35,1,12,F,H,"88,900",35,2.351375257,2.079441542,2.397895273,1.609437912,2.890371758,1.386294361,2.48490665,A,74,2.335052283,51792,0,0,0
1,19664,17,24,13,23,21,6,11,9,0,14,M,H,"228,200",32,2.944438979,2.944438979,3.091042453,1.098612289,1.098612289,1.098612289,1.098612289,N,74,2.944438979,85823,0,0,0
0,19680,18,68,12,23,34,6,6,13,0,12,F,H,"100,100",22,1.945910149,1.845300236,2.079441542,1.609437912,1.945910149,0,0.693147181,A,71,2.585531718,85823,0,1,0
0,19739,18,77,14,35,59,6,6,22,1,35,F,U,"145,000",22,3.218875825,2.869601996,3.258096538,1.386294361,2.197224577,0,1.386294361,A,59.26291209,2.585531718,62283,1,1,0
0,19751,15,32,15,27,27,6,11,9,0,35,F,H,"124,900",23,2.251291799,2.197224577,1.945910149,1.609437912,1.791759469,1.098612289,1.098612289,A,59.26291209,2.302585093,71376,1,0,0
1,19499,16,31,16,30,27,6,12,10,0,22,F,U,"85,400",20,3.258096538,3.157000421,3.258096538,0.693147181,1.098612289,0.693147181,0.693147181,A,59.26291209,3.258096538,53570.85049,1,0,1
0,19843,23,105,12,32,66,6,16,27,1,32,M,H,"61,400",32,2.917770732,2.478217662,2.772588722,1.098612289,2.564949358,1.098612289,2.397895273,A,59.26291209,2.917770732,34773,1,0,0
0,19891,18,67,15,34,44,6,14,18,0,24,M,U,"75,300",40,2.979094632,2.674148649,3.044522438,1.386294361,1.945910149,0.693147181,1.386294361,A,59.26291209,3.091042453,44395,1,0,0
0,19976,16,122,13,31,75,4,12,28,1,40,F,H,"98,300",29,2.48490665,1.921324674,2.48490665,0.693147181,2.944438979,0.693147181,2.63905733,A,55,2.48490665,40669,0,0,0
0,19992,18,80,13,32,47,6,6,20,0,24,M,H,"97,300",30,2.772588722,2.285438934,2.772588722,0.693147181,1.945910149,0,1.791759469,A,59.26291209,2.585531718,46591,1,1,0
